id,spanish,english ,other_common_meanings,common_definitions
1,el ejército,army,,General meaning: army | Usage note: 'el ejército' commonly refers to army in everyday conversation.
2,el aviso,notice,,General meaning: notice | Usage note: 'el aviso' commonly refers to notice in everyday conversation.
3,egoísta,selfish,,General meaning: selfish | Usage note: 'egoísta' commonly refers to selfish in everyday conversation.
4,inolvidable,unforgettable,,General meaning: unforgettable | Usage note: 'inolvidable' commonly refers to unforgettable in everyday conversation.
5,la cancha,court,,General meaning: court | Usage note: 'la cancha' commonly refers to court in everyday conversation.
6,vencer,to defeat,,General meaning: to defeat | Usage note: 'vencer' commonly refers to to defeat in everyday conversation.
7,faltar,to miss,,General meaning: to miss | Usage note: 'faltar' commonly refers to to miss in everyday conversation.
8,emocionante,exciting,,General meaning: exciting | Usage note: 'emocionante' commonly refers to exciting in everyday conversation.
9,la juventud,youth,,General meaning: youth | Usage note: 'la juventud' commonly refers to youth in everyday conversation.
10,la ciencia,science,,General meaning: science | Usage note: 'la ciencia' commonly refers to science in everyday conversation.
11,ansioso,anxious,,General meaning: anxious | Usage note: 'ansioso' commonly refers to anxious in everyday conversation.
12,diseñar,to design,,General meaning: to design | Usage note: 'diseñar' commonly refers to to design in everyday conversation.
13,encantado,delighted,,General meaning: delighted | Usage note: 'encantado' commonly refers to delighted in everyday conversation.
14,borrar,to delete,,General meaning: to delete | Usage note: 'borrar' commonly refers to to delete in everyday conversation.
15,prohibir,to prohibit,,General meaning: to prohibit | Usage note: 'prohibir' commonly refers to to prohibit in everyday conversation.
16,la asignatura,subject,,General meaning: subject | Alternate Spanish term: el tema | Usage note: 'la asignatura' commonly refers to subject in everyday conversation.
17,orgulloso,proud,,General meaning: proud | Usage note: 'orgulloso' commonly refers to proud in everyday conversation.
18,estrecho,narrow,,General meaning: narrow | Usage note: 'estrecho' commonly refers to narrow in everyday conversation.
19,denunciar,to report,,General meaning: to report | Usage note: 'denunciar' commonly refers to to report in everyday conversation.
20,renunciar,to resign,,General meaning: to resign | Usage note: 'renunciar' commonly refers to to resign in everyday conversation.
21,sonreír,to smile,,General meaning: to smile | Usage note: 'sonreír' commonly refers to to smile in everyday conversation.
22,la paciencia,patience,,General meaning: patience | Usage note: 'la paciencia' commonly refers to patience in everyday conversation.
23,hacia,toward,,General meaning: toward | Usage note: 'hacia' commonly refers to toward in everyday conversation.
24,débil,weak,,General meaning: weak | Usage note: 'débil' commonly refers to weak in everyday conversation.
25,la bandera,flag,,General meaning: flag | Usage note: 'la bandera' commonly refers to flag in everyday conversation.
26,la respuesta,response,,General meaning: response | Usage note: 'la respuesta' commonly refers to response in everyday conversation.
27,el ciudadano,citizen,,General meaning: citizen | Usage note: 'el ciudadano' commonly refers to citizen in everyday conversation.
28,favorito,favorite,,General meaning: favorite | Usage note: 'favorito' commonly refers to favorite in everyday conversation.
29,hacer cola,to get in line,,General meaning: to get in line | Usage note: 'hacer cola' commonly refers to to get in line in everyday conversation.
30,el suceso,event,,General meaning: event | Alternate Spanish term: el acontecimiento | Usage note: 'el suceso' commonly refers to event in everyday conversation.
31,la calidad,quality,,General meaning: quality | Alternate Spanish term: la cualidad | Usage note: 'la calidad' commonly refers to quality in everyday conversation.
32,aconsejar,to advise,,General meaning: to advise | Usage note: 'aconsejar' commonly refers to to advise in everyday conversation.
33,votar,to vote,,General meaning: to vote | Usage note: 'votar' commonly refers to to vote in everyday conversation.
34,extranjero,foreign,,General meaning: foreign | Usage note: 'extranjero' commonly refers to foreign in everyday conversation.
35,ambicioso,greedy,,General meaning: greedy | Usage note: 'ambicioso' commonly refers to greedy in everyday conversation.
36,enorme,enormous,,General meaning: enormous | Usage note: 'enorme' commonly refers to enormous in everyday conversation.
37,sudar,to sweat,,General meaning: to sweat | Usage note: 'sudar' commonly refers to to sweat in everyday conversation.
38,perjudicar,to be detrimental to,,General meaning: to be detrimental to | Usage note: 'perjudicar' commonly refers to to be detrimental to in everyday conversation.
39,aguantar,to put up with,,General meaning: to put up with | Usage note: 'aguantar' commonly refers to to put up with in everyday conversation.
40,culpable,guilty,,General meaning: guilty | Usage note: 'culpable' commonly refers to guilty in everyday conversation.
41,próximo,next,,General meaning: next | Alternate Spanish term: siguiente | Usage note: 'próximo' commonly refers to next in everyday conversation.
42,agotar,to exhaust,,General meaning: to exhaust | Usage note: 'agotar' commonly refers to to exhaust in everyday conversation.
43,útil,useful,,General meaning: useful | Usage note: 'útil' commonly refers to useful in everyday conversation.
44,la risa,laughter,,General meaning: laughter | Usage note: 'la risa' commonly refers to laughter in everyday conversation.
45,anciano,elderly,,General meaning: elderly | Usage note: 'anciano' commonly refers to elderly in everyday conversation.
46,proponer,to propose,,General meaning: to propose | Usage note: 'proponer' commonly refers to to propose in everyday conversation.
47,la grasa,fat,,General meaning: fat | Usage note: 'la grasa' commonly refers to fat in everyday conversation.
48,valorar,to value,,General meaning: to value | Usage note: 'valorar' commonly refers to to value in everyday conversation.
49,el hogar,home,,General meaning: home | Usage note: 'el hogar' commonly refers to home in everyday conversation.
50,el empresario,businessman,,General meaning: businessman | Usage note: 'el empresario' commonly refers to businessman in everyday conversation.
51,la carrera,race,,General meaning: race | Usage note: 'la carrera' commonly refers to race in everyday conversation.
52,la huésped,guest,,General meaning: guest | Alternate Spanish term: el invitado | Usage note: 'la huésped' commonly refers to guest in everyday conversation.
53,reconocer,to recognize,,General meaning: to recognize | Usage note: 'reconocer' commonly refers to to recognize in everyday conversation.
54,el diccionario,dictionary,,General meaning: dictionary | Usage note: 'el diccionario' commonly refers to dictionary in everyday conversation.
55,acordarse,to remember,,General meaning: to remember | Usage note: 'acordarse' commonly refers to to remember in everyday conversation.
56,el nacimiento,birth,,General meaning: birth | Usage note: 'el nacimiento' commonly refers to birth in everyday conversation.
57,rápido,fast,,General meaning: fast | Usage note: 'rápido' commonly refers to fast in everyday conversation.
58,respirar,breathe,,General meaning: breathe | Usage note: 'respirar' commonly refers to breathe in everyday conversation.
59,el servicio,service,,General meaning: service | Usage note: 'el servicio' commonly refers to service in everyday conversation.
60,descargar,to download,,General meaning: to download | Usage note: 'descargar' commonly refers to to download in everyday conversation.
61,el calor,heat,,General meaning: heat | Usage note: 'el calor' commonly refers to heat in everyday conversation.
62,el patrimonio,heritage,,General meaning: heritage | Usage note: 'el patrimonio' commonly refers to heritage in everyday conversation.
63,levantar,to lift,,General meaning: to lift | Usage note: 'levantar' commonly refers to to lift in everyday conversation.
64,pelearse,to fight,,General meaning: to fight | Alternate Spanish term: pelear | Usage note: 'pelearse' commonly refers to to fight in everyday conversation.
65,el género,gender,,General meaning: gender | Usage note: 'el género' commonly refers to gender in everyday conversation.
66,soleado,sunny,,General meaning: sunny | Usage note: 'soleado' commonly refers to sunny in everyday conversation.
67,el robo,robbery,,General meaning: robbery | Usage note: 'el robo' commonly refers to robbery in everyday conversation.
68,engordar,to gain weight,,General meaning: to gain weight | Usage note: 'engordar' commonly refers to to gain weight in everyday conversation.
69,familia,family,,General meaning: family | Usage note: 'familia' commonly refers to family in everyday conversation.
70,pelear,to fight,,General meaning: to fight | Alternate Spanish term: pelearse | Usage note: 'pelear' commonly refers to to fight in everyday conversation.
71,la muerte,death,,General meaning: death | Usage note: 'la muerte' commonly refers to death in everyday conversation.
72,mentir,to lie,,General meaning: to lie | Usage note: 'mentir' commonly refers to to lie in everyday conversation.
73,salvaje,wild,,General meaning: wild | Usage note: 'salvaje' commonly refers to wild in everyday conversation.
74,el perfil,profile,,General meaning: profile | Usage note: 'el perfil' commonly refers to profile in everyday conversation.
75,la mayoria,majority,,General meaning: majority | Usage note: 'la majoria' commonly refers to majority in everyday conversation.
76,el sueño,dream,,General meaning: dream | Usage note: 'el sueño' commonly refers to dream in everyday conversation.
77,la temporada,season,,General meaning: season | Usage note: 'la temporada' commonly refers to season in everyday conversation.
78,la contabilidad,accounting,,General meaning: accounting | Usage note: 'la contabilidad' commonly refers to accounting in everyday conversation.
79,el bienestar,well-being,,General meaning: well-being | Usage note: 'el bienestar' commonly refers to well-being in everyday conversation.
80,el técnico,technician,,General meaning: technician | Usage note: 'el técnico' commonly refers to technician in everyday conversation.
81,componer,to make up,,General meaning: to make up | Usage note: 'componer' commonly refers to to make up in everyday conversation.
82,producir,to produce,,General meaning: to produce | Usage note: 'producir' commonly refers to to produce in everyday conversation.
83,el guion,script,,General meaning: script | Usage note: 'el guion' commonly refers to script in everyday conversation.
84,leal,loyal,,General meaning: loyal | Usage note: 'leal' commonly refers to loyal in everyday conversation.
85,levantar pesas,to lift weight,,General meaning: to lift weight | Usage note: 'levantar pesas' commonly refers to to lift weight in everyday conversation.
86,sugerir,to suggest,,General meaning: to suggest | Usage note: 'sugerir' commonly refers to to suggest in everyday conversation.
87,la ruta,route,,General meaning: route | Usage note: 'la ruta' commonly refers to route in everyday conversation.
88,el síntoma,symptom,,General meaning: symptom | Usage note: 'el síntoma' commonly refers to symptom in everyday conversation.
89,la marca,mark,,General meaning: mark | Usage note: 'la marca' commonly refers to mark in everyday conversation.
90,el relato,story,,General meaning: story | Alternate Spanish term: el cuento | Usage note: 'el relato' commonly refers to story in everyday conversation.
91,el ensayo,essay,,General meaning: essay | Usage note: 'el ensayo' commonly refers to essay in everyday conversation.
92,invertir,to invest,,General meaning: to invest | Usage note: 'invertir' commonly refers to to invest in everyday conversation.
93,activo,active,,General meaning: active | Usage note: 'activo' commonly refers to active in everyday conversation.
94,el discurso,speech,,General meaning: speech | Usage note: 'el discurso' commonly refers to speech in everyday conversation.
95,la alegría,joy,,General meaning: joy | Usage note: 'la alegría' commonly refers to joy in everyday conversation.
96,el almacén,store,,General meaning: store | Usage note: 'el almacén' commonly refers to store in everyday conversation.
97,el folleto,brochure,,General meaning: brochure | Usage note: 'el folleto' commonly refers to brochure in everyday conversation.
98,enojarse,to get angry,,General meaning: to get angry | Usage note: 'enojarse' commonly refers to to get angry in everyday conversation.
99,el impuesto,tax,,General meaning: tax | Usage note: 'el impuesto' commonly refers to tax in everyday conversation.
100,tener prisa,to be in a hurry,,General meaning: to be in a hurry | Usage note: 'tener prisa' commonly refers to to be in a hurry in everyday conversation.
101,oscuro,dark,,General meaning: dark | Usage note: 'oscuro' commonly refers to dark in everyday conversation.
102,el vecino,neighbor,,General meaning: neighbor | Usage note: 'el vecino' commonly refers to neighbor in everyday conversation.
103,la medida,measurement,,General meaning: measurement | Usage note: 'la medida' commonly refers to measurement in everyday conversation.
104,aburrirse,to be bored,,General meaning: to be bored | Usage note: 'aburrirse' commonly refers to to be bored in everyday conversation.
105,adónde,where,,General meaning: where | Usage note: 'adónde' commonly refers to where in everyday conversation.
106,graduarse,to graduate,,General meaning: to graduate | Usage note: 'graduarse' commonly refers to to graduate in everyday conversation.
107,sincero,sincere,,General meaning: sincere | Usage note: 'sincero' commonly refers to sincere in everyday conversation.
108,siguiente,next,,General meaning: next | Alternate Spanish term: próximo | Usage note: 'siguiente' commonly refers to next in everyday conversation.
109,la época,period,,General meaning: period | Usage note: 'la época' commonly refers to period in everyday conversation.
110,sensible,sensitive,,General meaning: sensitive | Usage note: 'sensible' commonly refers to sensitive in everyday conversation.
111,el origen,origin,,General meaning: origin | Usage note: 'el origen' commonly refers to origin in everyday conversation.
112,el compromiso,commitment,,General meaning: commitment | Usage note: 'el compromiso' commonly refers to commitment in everyday conversation.
113,entrevistar,to interview,,General meaning: to interview | Usage note: 'entrevistar' commonly refers to to interview in everyday conversation.
114,apretado,tight,,General meaning: tight | Usage note: 'apretado' commonly refers to tight in everyday conversation.
115,disminuir,to decrease,,General meaning: to decrease | Usage note: 'disminuir' commonly refers to to decrease in everyday conversation.
116,la pesadilla,nightmare,,General meaning: nightmare | Usage note: 'la pesadilla' commonly refers to nightmare in everyday conversation.
117,normalmente,normally,,General meaning: normally | Usage note: 'normalmente' commonly refers to normally in everyday conversation.
118,la serie,series,,General meaning: series | Usage note: 'la serie' commonly refers to series in everyday conversation.
119,el cuento,story,,General meaning: story | Alternate Spanish term: el relato | Usage note: 'el cuento' commonly refers to story in everyday conversation.
120,cariñoso,affectionate,,General meaning: affectionate | Usage note: 'cariñoso' commonly refers to affectionate in everyday conversation.
121,esconder,to hide,,General meaning: to hide | Usage note: 'esconder' commonly refers to to hide in everyday conversation.
122,frecuentemente,frequently ,,General meaning: frequently | Usage note: 'frecuentemente' commonly refers to frequently in everyday conversation.
123,sabio,wise,,General meaning: wise | Usage note: 'sabio' commonly refers to wise in everyday conversation.
124,el consejero,counselor,,General meaning: counselor | Usage note: 'el consejero' commonly refers to counselor in everyday conversation.
125,la competencia,competition,,General meaning: competition | Usage note: 'la competencia' commonly refers to competition in everyday conversation.
126,el aire,air,,General meaning: air | Usage note: 'el aire' commonly refers to air in everyday conversation.
127,atraer,to attract,,General meaning: to attract | Usage note: 'atraer' commonly refers to to attract in everyday conversation.
128,el descuento,discount,,General meaning: discount | Usage note: 'el descuento' commonly refers to discount in everyday conversation.
